,id,is_phd,hindu,been_abroad,hindi,north,is_right
192,id_1192,0, 1,0,1, 1,1
193,id_1193,0, 1,0,1, 1,1
194,id_1194,0, 1,0,1, 1,1
195,id_1195,0, 1,0,1, 1,1
196,id_1196,0, 1,0,1, 1,1
197,id_1197,0, 1,0,1, 1,1
198,id_1198,0, 1,0,1, 1,1
199,id_1199,0, 1,0,1, 1,1
200,id_1200,1, 1,1,0, 1,0
201,id_1201,0, 1,0,1, 1,1
202,id_1202,0, 1,0,1, 1,1
203,id_1203,0, 1,0,0, 1,0
204,id_1204,0, 1,0,1, 1,1
205,id_1205,0, 1,0,1, 1,1
206,id_1206,0, 1,0,1, 1,1
207,id_1207,0, 1,0,0, 1,0
208,id_1208,1, 1,1,0, 1,0
209,id_1209,1, 1,1,0, 1,0
210,id_1210,0, 1,0,1, 1,1
211,id_1211,0, 1,0,1, 1,1
212,id_1212,0, 1,0,1, 1,1
213,id_1213,1, 1,1,0, 1,0
214,id_1214,0, 1,0,1, 1,1
215,id_1215,0, 1,0,1, 1,1
216,id_1216,1, 1,1,0, 1,0
217,id_1217,1, 1,1,0, 1,0
218,id_1218,1, 1,1,0, 1,1
219,id_1219,1, 1,1,0, 1,0
220,id_1220,1, 1,1,0, 0,0
221,id_1221,1, 1,1,0, 0,0
222,id_1222,1, 1,1,0, 1,0
223,id_1223,1, 1,1,0, 1,0
224,id_1224,0, 1,0,0, 1,0
225,id_1225,1, 1,1,0, 1,0
226,id_1226,1, 1,1,1, 1,1
227,id_1227,1, 1,1,0, 1,0
228,id_1228,1, 1,1,0, 1,0
229,id_1229,1, 1,1,0, 1,0
230,id_1230,1, 1,1,0, 1,0
231,id_1231,0, 1,1,1, 1,1
232,id_1232,1, 1,1,0, 1,0
233,id_1233,0, 1,0,1, 0,0
234,id_1234,0, 1,0,1, 1,1
235,id_1235,1, 1,1,0, 1,0
236,id_1236,0, 1,0,1, 1,1
237,id_1237,1, 1,1,0, 1,0
238,id_1238,0, 1,0,0, 1,1
239,id_1239,1, 1,1,0, 1,0
240,id_1240,1, 1,1,0, 1,0
241,id_1241,1, 1,1,0, 1,0
242,id_1242,1, 1,1,0, 1,0
243,id_1243,1, 1,1,0, 1,0
244,id_1244,0, 1,0,1, 1,1
245,id_1245,1, 1,1,0, 1,0
246,id_1246,1, 1,1,0, 1,0
247,id_1247,1, 1,1,0, 1,0
248,id_1248,1, 1,1,0, 1,0
249,id_1249,0, 1,0,1, 1,1
250,id_1250,1, 1,1,0, 1,0
251,id_1251,0, 1,0,1, 1,1
252,id_1252,1, 1,1,0, 1,0
253,id_1253,1, 1,1,0, 1,0
254,id_1254,1, 1,1,0, 1,0
255,id_1255,1, 1,1,0, 1,0
256,id_1256,1, 0,1,0, 1,0
257,id_1257,1, 1,1,0, 1,0
258,id_1258,1, 1,1,0, 1,0
259,id_1259,1, 1,1,0, 1,1
260,id_1260,1, 1,1,0, 1,0
261,id_1261,0, 1,0,0, 1,1
262,id_1262,1, 1,1,0, 1,0
263,id_1263,0, 1,1,0, 1,0
264,id_1264,0, 1,0,1, 1,1
265,id_1265,1, 1,1,0, 1,0
266,id_1266,1, 1,1,0, 1,0
267,id_1267,0, 1,1,0, 1,1
268,id_1268,1, 1,1,0, 1,0
269,id_1269,1, 1,1,0, 1,0
270,id_1270,1, 1,1,0, 1,0
271,id_1271,1, 1,1,0, 1,0
272,id_1272,1, 1,1,0, 1,0
273,id_1273,1, 1,1,0, 1,0
274,id_1274,1, 1,1,0, 1,0
275,id_1275,1, 0,1,0, 1,0
276,id_1276,1, 1,1,0, 1,1
277,id_1277,0, 1,0,0, 1,0
278,id_1278,1, 1,1,0, 1,0
279,id_1279,0, 1,1,0, 1,0
280,id_1280,1, 1,1,0, 1,0
281,id_1281,1, 1,1,0, 1,0
282,id_1282,1, 1,1,0, 1,0
283,id_1283,1, 1,1,1, 1,1
284,id_1284,1, 1,1,0, 1,0
285,id_1285,1, 1,1,0, 1,0
286,id_1286,1, 1,1,0, 1,0
287,id_1287,1, 1,1,0, 1,0
288,id_1288,1, 1,1,0, 1,0
289,id_1289,1, 1,1,0, 1,0
